time_key,open,close,high,low,volume
2021-03-10,64.5,69.5,74.83,60.5,97069337.0
2021-03-11,74.93,73.9,77.78,70.13,59629264.0
2021-03-12,72.47,69.7,72.96,69.11,19714717.0
2021-03-15,70.02,72.15,74.06,66.25,19607068.0
2021-03-16,73.73,77.0,78.0,73.18,30274438.0
2021-03-17,76.03,76.79,79.1,74.8901,10054148.0
2021-03-18,76.0,67.3,77.0,66.8,9702962.0
2021-03-19,69.47,70.5,72.7,68.08,6776471.0
2021-03-22,71.81,70.0,72.49,69.54,4238528.0
2021-03-23,70.1,68.0,71.75,67.63,4456034.0
2021-03-24,69.97,64.5,70.0,64.01,5459952.0
2021-03-25,62.01,67.85,69.85,60.69,6283000.0
2021-03-26,67.89,70.97,71.2,64.77,4531240.0
2021-03-29,69.0,67.03,69.09,66.51,4351600.0
2021-03-30,66.98,65.17,66.99,64.475,3394512.0
2021-03-31,65.5,64.83,67.19,64.57,4094917.0
2021-04-01,66.8,67.34,69.67,65.9,4063114.0
2021-04-05,70.14,70.76,72.86,68.56,8609492.0
2021-04-06,71.24,71.32,72.39,70.76,3915520.0
2021-04-07,70.7,68.73,71.14,67.88,4424785.0
2021-04-08,69.47,70.76,71.49,68.84,4243968.0
2021-04-09,70.5,71.83,74.99,70.205,9245505.0
2021-04-12,71.82,75.0,77.0,71.5101,8004144.0
2021-04-13,74.69,82.05,83.41,73.51,17893715.0
2021-04-14,79.11,75.35,80.57,74.0511,14785807.0
2021-04-15,75.5,79.66,80.75,74.56,8841136.0
2021-04-16,78.0,75.85,79.36,75.12,5156233.0
2021-04-19,75.87,72.0,78.2999,71.43,6637738.0
2021-04-20,71.5,69.24,71.74,67.3,8393632.0
2021-04-21,68.81,71.76,71.99,67.6,4525000.0
2021-04-22,71.5,69.85,73.79,69.1,3372234.0
2021-04-23,70.04,71.78,72.38,69.59,2732795.0
2021-04-26,72.0,74.9,75.92,71.3101,4192712.0
2021-04-27,74.77,74.35,75.37,72.33,3200608.0
2021-04-28,74.77,75.64,76.93,73.64,3084329.0
2021-04-29,76.71,76.12,77.6,72.83,4374927.0
2021-04-30,74.81,74.55,76.99,73.91,2420156.0
2021-05-03,74.86,71.08,75.1,70.61,3212165.0
2021-05-04,71.0,69.62,71.69,67.6584,5379943.0
2021-05-05,70.6,66.59,70.88,66.459999999,4584774.0
2021-05-06,66.5,65.06,67.0,63.83,6004217.0
2021-05-07,67.01,67.9,68.48,66.2001,4808164.0
2021-05-10,68.84,64.0,69.29,64.0,8124100.0
2021-05-11,64.88,77.65,77.7873,64.7,30994970.0
2021-05-12,74.21,75.53,76.0,71.09,20823946.0
2021-05-13,75.15,69.68,75.15,67.51,17769540.0
2021-05-14,71.2,70.95,73.43,69.25,7676329.0
2021-05-17,70.95,76.93,76.97,70.91,16797616.0
2021-05-18,76.7,74.99,77.59,73.48,11688162.0
2021-05-19,70.33,75.22,76.27,70.33,10886322.0
2021-05-20,75.72,76.33,76.91,73.01,10951045.0
2021-05-21,77.48,82.5,84.6849,77.31,31672579.0
2021-05-24,82.6,89.23,89.64,82.5,23117657.0
2021-05-25,90.0,89.32,90.11,85.51,14314595.0
2021-05-26,89.95,89.71,95.0,88.75,17543517.0
2021-05-27,89.26,97.47,97.5,87.59,19850311.0
2021-05-28,96.85,93.77,98.95,92.53,13462640.0
2021-06-01,94.77,96.89,97.93,93.22,13632276.0
2021-06-02,96.88,99.86,103.29,95.39,16728850.0
